Section,Report Title,URL,Display Order
Comprehensive Annual Financial Report (CAFR),FY 2014 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Final%20CAFR.pdf,43
Comprehensive Annual Financial Report (CAFR),FY 2013 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/FY13%20City%20of%20Detroit%20Financial%20Statements%20-%20FINAL_1.pdf,44
Comprehensive Annual Financial Report (CAFR),FY 2012 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Final%202012%20Detroit%20Financial%20Statements.pdf,45
Comprehensive Annual Financial Report (CAFR),FY 2011 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2011%20Detroit%20CAFR%20Final.pdf,46
Comprehensive Annual Financial Report (CAFR),FY 2010 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/2010%20CAFR%20draft%20122010%20.pdf,47
Comprehensive Annual Financial Report (CAFR),FY 2009 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/Detroit%20CAFR%20FINAL%206-5-10.pdf,48
Comprehensive Annual Financial Report (CAFR),FY 2008 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CAFR_FY08_FINAL_a.pdf,49
Comprehensive Annual Financial Report (CAFR),FY 2007 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CAFR07_02-26-09.PDF,50
Comprehensive Annual Financial Report (CAFR),FY 2006 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CAFR2006.pdf,51
Comprehensive Annual Financial Report (CAFR),FY 2005 CAFR,https://detroitmi.gov/sites/detroitmi.localhost/files/migrated_docs/financial-reports/CAFR2005.pdf,52
